Port,Area,Sub-area,🟢 Call duration [days],🟢 Port delays [days],Total port time[days],Port type,In EU,Waypoint,Area point,Connection point,Longitude,Latitude
Tianjinxingang,FE,FE,0.665278,0,0.665278,Cargo Ops,N,0,0,0,117.771667,38.973333
Toyohashi,FE,FE,1,0,1,Cargo Ops,N,0,0,0,137.319167,34.73
Umm Al Quwain,MI,ME,1,0,1,Cargo Ops,N,0,0,0,0,0
Valencia,EU,MD,1,0,1,Cargo Ops,Y,0,0,0,-0.311667,39.438333
Valletta,EU,MD,0.9481481666666667,0.2,1.148148166666667,Cargo Ops,Y,0,0,0,14.509218,35.887092
Veracruz,US,CA,1.798287,0.5,2.298287,Cargo Ops,N,1,0,0,-96.13,19.204167
Vigo,EU,EU-N,0.579051,0,0.579051,Cargo Ops,Y,0,0,0,-8.74,42.233333
Wilhelmshaven,EU,EU-N,1,0,1,Cargo Ops,Y,0,0,0,0,0
Willemstad,CA,CA,0.3740743333333333,0,0.3740743333333333,Cargo Ops,N,0,0,0,-68.940384,12.109479
WilmingtonDe,US,US-E,1.2897916,0.7,1.9897916,Cargo Ops,N,0,0,0,-75.518333,39.718333
Yanbu,MI,ME,1.718056,0,1.718056,Cargo Ops,N,0,0,0,38.066667,24.075
Yokkaichi,FE,FE,1,0,1,Cargo Ops,N,0,0,0,136.65,34.95
Yokohama,FE,FE,0.4394291111111112,0,0.4394291111111112,Cargo Ops,N,0,0,0,139.685,35.448333
Zeebrugge,EU,EU-N,1.356944458333333,0,1.356944458333333,Cargo Ops,Y,0,0,0,3.205,51.344167
Zhoushan,FE,FE,1,0,1,Cargo Ops,N,0,0,0,122.095,30.006667
